cycle_number,c_rate,voltage_mean,voltage_std,current_mean,temperature_mean,discharge_capacity,soh
1,0.5,3.8795,0.1683,2.4705,25.94,4.9856,0.997582
2,0.5,3.8683,0.1635,2.4473,26.39,4.9826,0.997457
3,0.5,3.8539,0.1586,2.3867,25.05,4.9791,0.995193
4,0.5,3.8843,0.1609,2.4899,25.3,4.9521,0.993262
5,0.5,3.8578,0.164,2.4223,26.07,4.9618,0.992937
6,0.5,3.8687,0.157,2.5629,26.94,4.9491,0.992258
7,0.5,3.8557,0.1632,2.5551,25.03,4.9642,0.992496
8,0.5,3.8535,0.1589,2.433,25.86,4.9688,0.991639
9,0.5,3.8715,0.1606,2.4113,25.13,4.9641,0.991599
10,0.5,3.8601,0.1609,2.5127,26.48,4.9688,0.991813
11,0.5,3.8558,0.1571,2.5559,25.92,4.9628,0.989853
12,0.5,3.8705,0.1598,2.5107,26.52,4.9645,0.98983
13,0.5,3.8404,0.1673,2.4823,26.8,4.9443,0.989454
14,0.5,3.8642,0.165,2.6208,25.03,4.9407,0.989185
15,0.5,3.8745,0.1653,2.4168,25.77,4.9446,0.987902
16,0.5,3.8587,0.1618,2.4319,26.51,4.9275,0.988437
17,0.5,3.8657,0.1623,2.3292,26.15,4.9372,0.988277
18,0.5,3.8632,0.1658,2.6568,25.62,4.9382,0.98729
19,0.5,3.8459,0.1636,2.4749,25.99,4.9624,0.987551
20,0.5,3.8641,0.1581,2.5812,26.18,4.9414,0.986771
21,0.5,3.879,0.1568,2.5273,25.57,4.9591,0.987433
22,0.5,3.8643,0.1619,2.3083,25.74,4.9274,0.985337
23,0.5,3.8538,0.1723,2.3841,26.26,4.9216,0.984958
24,0.5,3.8665,0.1706,2.3056,25.41,4.9345,0.986533
25,0.5,3.8512,0.1577,2.5164,26.42,4.9314,0.985685
26,0.5,3.8565,0.1655,2.4928,26.2,4.9198,0.985387
27,0.5,3.8525,0.1673,2.3693,26.27,4.9415,0.986719
28,0.5,3.8732,0.1663,2.5465,25.62,4.9476,0.985734
29,0.5,3.8534,0.1607,2.4524,25.66,4.9237,0.984057
30,0.5,3.8626,0.172,2.4343,26.45,4.9488,0.984311
31,0.5,3.8518,0.1671,2.4386,25.61,4.9291,0.984396
32,0.5,3.8537,0.1572,2.4153,26.0,4.9285,0.983983
33,0.5,3.8635,0.1669,2.3703,25.42,4.9189,0.983469
34,0.5,3.865,0.1679,2.566,25.47,4.9258,0.983061
35,0.5,3.8653,0.1682,2.5049,25.57,4.9454,0.981377
36,0.5,3.871,0.1683,2.4262,26.61,4.923,0.983081
37,0.5,3.8553,0.166,2.6852,25.92,4.8888,0.981496
38,0.5,3.8565,0.1706,2.4632,25.24,4.9028,0.982717
39,0.5,3.8526,0.1668,2.4573,26.38,4.8989,0.98108
40,0.5,3.8417,0.1658,2.3931,26.36,4.9271,0.983708
41,0.5,3.8645,0.1702,2.3313,25.99,4.8994,0.980542
42,0.5,3.8772,0.1678,2.3255,25.72,4.9123,0.980634
43,0.5,3.8462,0.1627,2.5842,26.56,4.908,0.983007
44,0.5,3.8506,0.1654,2.1286,26.44,4.8953,0.981108
45,0.5,3.8755,0.1588,2.4065,25.43,4.9023,0.980193
46,0.5,3.872,0.1655,2.356,25.33,4.913,0.981671
47,0.5,3.8599,0.164,2.4619,25.75,4.9077,0.980215
48,0.5,3.8814,0.1558,2.4383,25.43,4.9128,0.98139
49,0.5,3.8568,0.1636,2.3908,25.74,4.9079,0.979876
50,0.5,3.8678,0.1676,2.5306,25.71,4.905,0.979745
51,0.5,3.8652,0.1695,2.4438,25.78,4.8929,0.978354
52,0.5,3.8647,0.1649,2.4289,25.76,4.9123,0.980257
53,0.5,3.8717,0.1662,2.5172,26.46,4.8949,0.979604
54,0.5,3.8591,0.1693,2.3654,25.99,4.9154,0.978903
55,0.5,3.8685,0.1707,2.5059,25.45,4.8932,0.977376
56,0.5,3.8583,0.1632,2.5429,25.61,4.8894,0.978174
57,0.5,3.8609,0.164,2.3607,25.9,4.8883,0.977167
58,0.5,3.8527,0.1677,2.3003,25.81,4.8761,0.978045
59,0.5,3.8596,0.1743,2.528,25.96,4.8829,0.976891
60,0.5,3.8567,0.1653,2.4758,25.56,4.8787,0.977401
61,0.5,3.8561,0.1687,2.5134,26.83,4.8847,0.977752
62,0.5,3.8578,0.163,2.4456,26.07,4.8913,0.977271
63,0.5,3.8792,0.1627,2.533,26.55,4.8934,0.978314
64,0.5,3.8497,0.1633,2.2348,25.66,4.8891,0.97887
65,0.5,3.859,0.1767,2.5344,26.15,4.8729,0.975739
66,0.5,3.8421,0.1765,2.5565,26.32,4.8724,0.97542
67,0.5,3.8534,0.1739,2.2766,26.75,4.8661,0.974426
68,0.5,3.8513,0.1703,2.3332,26.1,4.8784,0.975967
69,0.5,3.8628,0.1616,2.2864,26.33,4.8923,0.975906
70,0.5,3.8713,0.1678,2.5578,25.7,4.8804,0.975944
